"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","435","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","65","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","3.401074","0","6"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","1","1","5.938989","0","24"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","4.411850","0","7"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","3.282449","0","4"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","4.685586","0","5"
"/Game/SciFiMuseum/Mat_Sharpen.Mat_Sharpen","0","4","4","1","4.087142","0","4"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","26","26","1","45.506302","0","26"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","20","1","31.451973","0","28"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","1","1","27.436701","0","243"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","1","1","3.209855","0","11"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","6.577976","0","36"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","1","1","4.574323","0","19"
"/Game/SpaceshipInterior/Materials/M_Scifi_Glow.M_Scifi_Glow","0","23","7","1","22.096779","0","271"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","1","1","1.163686","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","1.528048","0","13"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","30.981874","0","347"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","1","1","24.453596","0","320"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","1","1","7.453469","0","33"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","1","1","0.000000","0","8"
"/Game/InfinityBladeEffects/Effects/FX/M_Embers.M_Embers","0","5","2","1","5.364275","0","17"
"/Game/InfinityBladeEffects/Effects/FX/M_BloomPlane.M_BloomPlane","0","3","3","1","11.382896","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","1","1","1.601375","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","1","1","1.653849","0","8"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","35","1","1","19.302395","0","575"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","1","1","13.301509","0","290"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","1","1","13.798364","0","254"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","33","1","1","90.115562","0","573"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","1","1","21.834360","0","298"
"/Game/SciFiMuseum/Maps/Federico/Crystal_engine_LP_UV_Crystal_Engine_BaseColor_Mat.Crystal_engine_LP_UV_Crystal_Engine_BaseColor_Mat","0","23","1","1","23.852573","0","278"
"/Game/SciFiMuseum/Maps/Adam/Materials/Master_Sculpture.Master_Sculpture","0","42","2","1","38.635258","0","1008"
